"","X","Kingdom","Phylum","Class","Order","Family","Genus","Species","guild","confidenceRanking"
"1","otu.1","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma","Piloderma_lanatum 00011491","Ectomycorrhizal-Lichen Parasite-Lichenized-Plant Pathogen","Possible"
"2","otu.2","Fungi","Ascomycota","Ascomycota_class_incertae_sedis","Ascomycota_order_incertae_sedis","Ascomycota_family_incertae_sedis","Retiarius","Retiarius_bovicornutus 00030288","|Pollen Saprotroph|-Wood Saprotroph","Probable"
"3","otu.3","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae",NA,NA,"Plant Pathogen-Undefined Saprotroph","Probable"
"4","otu.4","Fungi","Ascomycota",NA,NA,NA,NA,NA,NA,NA
"5","otu.5","Fungi","Ascomycota","Ascomycota_class_incertae_sedis","Ascomycota_order_incertae_sedis","Ascomycota_family_incertae_sedis","Microcyclospora","Microcyclospora_tardicrescens 00013363","|Plant Pathogen|","Probable"
"6","otu.6","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,NA,NA
"7","otu.7","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Byssocorticium",NA,"Ectomycorrhizal-Lichen Parasite-Lichenized-Plant Pathogen","Possible"
"8","otu.8","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Sagenomella","Sagenomella_diversispora 00009831","Undefined Saprotroph","Possible"
"9","otu.9","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Gloniaceae","Cenococcum","Cenococcum_sp 00000034","|Ectomycorrhizal|","Highly Probable"
"10","otu.10","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Hydnum",NA,"|Ectomycorrhizal|","Highly Probable"
"11","otu.11","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_mordax 00013204","Ectomycorrhizal","Probable"
"12","otu.12","Fungi","Basidiomycota","Wallemiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Geminibasidium_sp 00000018","|Undefined Saprotroph|","Probable"
"13","otu.13","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_weirii 00013924","Plant Pathogen","Probable"
"14","otu.14","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Alectoria",NA,"Lichenized","Highly Probable"
"15","otu.15","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales",NA,NA,NA,NA,NA
"16","otu.16","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_alutacea 00017934","Ectomycorrhizal","Probable"
